Model,Accuracy,Precision,Recall,F1-score,GM
KNN,0.7785714285714286,0.6362193362193362,0.639186507936508,0.6284593236141223,0.32361324146684767
SVM,0.8319047619047618,0.7704034391534392,0.7650793650793651,0.7594759896965779,0.5879889098946955
DT,0.7242857142857142,0.5535335497835497,0.5283068783068783,0.525303664200723,0.16444819788720616
MLP,0.8252380952380951,0.7630423280423281,0.7616071428571429,0.7550144626615215,0.5808000387861136
RF,0.8590476190476191,0.7762397787397788,0.763888888888889,0.7579572116336821,0.533742332960064
